----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model medium -----
----- Epoch 1 -----
[16:24:27][Step 335] Loss: 2.12 | Was correct: False
[16:24:28][Step 336] Loss: 2.42 | Was correct: False
[16:24:29][Step 337] Loss: 2.47 | Was correct: False
[16:24:30][Step 338] Loss: 2.33 | Was correct: False
[16:24:31][Step 339] Loss: 2.36 | Was correct: False
[16:24:32][Step 340] Loss: 2.38 | Was correct: False
[16:24:33][Step 341] Loss: 2.26 | Was correct: False
[16:24:34][Step 342] Loss: 2.29 | Was correct: False
[16:24:35][Step 343] Loss: 2.53 | Was correct: False
[16:24:37][Step 344] Loss: 2.44 | Was correct: False
[16:24:38][Step 345] Loss: 2.56 | Was correct: False
[16:24:39][Step 346] Loss: 2.43 | Was correct: False
[16:24:40][Step 347] Loss: 2.28 | Was correct: False
[16:24:41][Step 348] Loss: 2.33 | Was correct: False
[16:24:42][Step 349] Loss: 2.49 | Was correct: False
[16:24:43][Step 350] Loss: 2.32 | Was correct: False
[16:24:44][Step 351] Loss: 2.09 | Was correct: True
[16:24:46][Step 352] Loss: 2.28 | Was correct: False
[16:24:47][Step 353] Loss: 2.28 | Was correct: False
[16:24:48][Step 354] Loss: 2.32 | Was correct: False
[16:24:49][Step 355] Loss: 2.27 | Was correct: False
[16:24:50][Step 356] Loss: 2.11 | Was correct: False
[16:24:51][Step 357] Loss: 2.22 | Was correct: False
[16:24:52][Step 358] Loss: 2.61 | Was correct: False
[16:24:53][Step 359] Loss: 2.44 | Was correct: False
[16:24:54][Step 360] Loss: 2.31 | Was correct: False
[16:24:55][Step 361] Loss: 2.49 | Was correct: False
[16:24:57][Step 362] Loss: 2.29 | Was correct: False
[16:24:58][Step 363] Loss: 2.29 | Was correct: False
[16:24:59][Step 364] Loss: 2.33 | Was correct: False
[16:25:00][Step 365] Loss: 2.32 | Was correct: False
[16:25:01][Step 366] Loss: 2.25 | Was correct: False
[16:25:02][Step 367] Loss: 2.34 | Was correct: False
[16:25:03][Step 368] Loss: 2.32 | Was correct: False
[16:25:04][Step 369] Loss: 2.41 | Was correct: False
[16:25:05][Step 370] Loss: 2.34 | Was correct: False
[16:25:07][Step 371] Loss: 2.20 | Was correct: False
[16:25:08][Step 372] Loss: 2.48 | Was correct: False
[16:25:09][Step 373] Loss: 2.10 | Was correct: True
[16:25:10][Step 374] Loss: 2.39 | Was correct: False
[16:25:11][Step 375] Loss: 2.20 | Was correct: False
[16:25:12][Step 376] Loss: 2.03 | Was correct: True
[16:25:13][Step 377] Loss: 2.19 | Was correct: False
[16:25:14][Step 378] Loss: 2.53 | Was correct: False
[16:25:15][Step 379] Loss: 2.49 | Was correct: False
[16:25:17][Step 380] Loss: 2.28 | Was correct: False
[16:25:18][Step 381] Loss: 2.05 | Was correct: False
[16:25:19][Step 382] Loss: 2.25 | Was correct: False
[16:25:20][Step 383] Loss: 2.35 | Was correct: False
[16:25:21][Step 384] Loss: 2.46 | Was correct: False
[16:25:22][Step 385] Loss: 2.30 | Was correct: False
[16:25:23][Step 386] Loss: 2.23 | Was correct: False
[16:25:24][Step 387] Loss: 2.24 | Was correct: False
[16:25:26][Step 388] Loss: 2.22 | Was correct: False
[16:25:27][Step 389] Loss: 2.23 | Was correct: False
[16:25:28][Step 390] Loss: 2.48 | Was correct: False
[16:25:29][Step 391] Loss: 2.17 | Was correct: False
[16:25:30][Step 392] Loss: 2.51 | Was correct: False
[16:25:31][Step 393] Loss: 2.35 | Was correct: False
[16:25:32][Step 394] Loss: 2.11 | Was correct: True
[16:25:34][Step 395] Loss: 2.34 | Was correct: False
[16:25:35][Step 396] Loss: 2.28 | Was correct: False
[16:25:36][Step 397] Loss: 2.12 | Was correct: False
[16:25:37][Step 398] Loss: 2.06 | Was correct: False
[16:25:38][Step 399] Loss: 2.40 | Was correct: False
[16:25:39][Step 400] Loss: 2.36 | Was correct: False
[16:25:40][Step 401] Loss: 2.22 | Was correct: False
[16:25:41][Step 402] Loss: 2.12 | Was correct: True
[16:25:42][Step 403] Loss: 2.31 | Was correct: False
[16:25:43][Step 404] Loss: 2.37 | Was correct: False
[16:25:45][Step 405] Loss: 2.23 | Was correct: False
[16:25:46][Step 406] Loss: 2.17 | Was correct: False
[16:25:47][Step 407] Loss: 2.03 | Was correct: True
[16:25:48][Step 408] Loss: 2.39 | Was correct: False
[16:25:49][Step 409] Loss: 2.30 | Was correct: False
[16:25:50][Step 410] Loss: 2.08 | Was correct: True
