----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model big -----
----- Epoch 1 -----
[16:24:52][Step 259] Loss: 2.09 | Was correct: True
[16:24:53][Step 260] Loss: 2.30 | Was correct: False
[16:24:55][Step 261] Loss: 2.29 | Was correct: False
[16:24:56][Step 262] Loss: 2.33 | Was correct: False
[16:24:58][Step 263] Loss: 2.35 | Was correct: False
[16:24:59][Step 264] Loss: 2.28 | Was correct: False
[16:25:01][Step 265] Loss: 2.11 | Was correct: True
[16:25:02][Step 266] Loss: 2.36 | Was correct: False
[16:25:04][Step 267] Loss: 2.42 | Was correct: False
[16:25:06][Step 268] Loss: 2.33 | Was correct: False
[16:25:07][Step 269] Loss: 2.14 | Was correct: False
[16:25:09][Step 270] Loss: 2.09 | Was correct: True
[16:25:10][Step 271] Loss: 2.31 | Was correct: False
[16:25:12][Step 272] Loss: 2.06 | Was correct: True
[16:25:13][Step 273] Loss: 2.50 | Was correct: False
[16:25:15][Step 274] Loss: 2.06 | Was correct: True
[16:25:16][Step 275] Loss: 2.51 | Was correct: False
[16:25:18][Step 276] Loss: 2.35 | Was correct: False
[16:25:19][Step 277] Loss: 2.12 | Was correct: False
[16:25:21][Step 278] Loss: 2.31 | Was correct: False
[16:25:22][Step 279] Loss: 2.30 | Was correct: False
[16:25:24][Step 280] Loss: 2.36 | Was correct: False
[16:25:25][Step 281] Loss: 2.32 | Was correct: False
[16:25:27][Step 282] Loss: 2.45 | Was correct: False
[16:25:28][Step 283] Loss: 2.03 | Was correct: True
[16:25:30][Step 284] Loss: 2.34 | Was correct: False
[16:25:32][Step 285] Loss: 1.98 | Was correct: True
[16:25:33][Step 286] Loss: 2.33 | Was correct: False
[16:25:35][Step 287] Loss: 2.31 | Was correct: False
[16:25:36][Step 288] Loss: 1.95 | Was correct: True
[16:25:38][Step 289] Loss: 2.25 | Was correct: False
[16:25:39][Step 290] Loss: 2.33 | Was correct: False
[16:25:41][Step 291] Loss: 2.43 | Was correct: False
[16:25:42][Step 292] Loss: 2.22 | Was correct: False
[16:25:44][Step 293] Loss: 2.17 | Was correct: False
[16:25:45][Step 294] Loss: 2.31 | Was correct: False
[16:25:47][Step 295] Loss: 2.30 | Was correct: False
[16:25:48][Step 296] Loss: 2.54 | Was correct: False
[16:25:50][Step 297] Loss: 2.29 | Was correct: False
[16:25:52][Step 298] Loss: 2.17 | Was correct: False
[16:25:53][Step 299] Loss: 2.28 | Was correct: False
[16:25:55][Step 300] Loss: 2.12 | Was correct: False
[16:25:56][Step 301] Loss: 2.34 | Was correct: False
[16:25:58][Step 302] Loss: 2.31 | Was correct: False
[16:25:59][Step 303] Loss: 1.98 | Was correct: True
[16:26:01][Step 304] Loss: 2.31 | Was correct: False
[16:26:02][Step 305] Loss: 2.25 | Was correct: False
[16:26:04][Step 306] Loss: 2.00 | Was correct: True
[16:26:05][Step 307] Loss: 2.01 | Was correct: True
[16:26:07][Step 308] Loss: 2.23 | Was correct: False
[16:26:09][Step 309] Loss: 2.52 | Was correct: False
[16:26:10][Step 310] Loss: 2.10 | Was correct: False
[16:26:12][Step 311] Loss: 2.08 | Was correct: False
[16:26:13][Step 312] Loss: 1.88 | Was correct: True
[16:26:15][Step 313] Loss: 2.49 | Was correct: False
[16:26:16][Step 314] Loss: 2.32 | Was correct: False
[16:26:18][Step 315] Loss: 2.31 | Was correct: False
[16:26:19][Step 316] Loss: 1.93 | Was correct: True
[16:26:21][Step 317] Loss: 2.25 | Was correct: False
[16:26:22][Step 318] Loss: 2.31 | Was correct: False
[16:26:24][Step 319] Loss: 2.05 | Was correct: False
[16:26:25][Step 320] Loss: 2.44 | Was correct: False
[16:26:28][Step 321] Loss: 2.41 | Was correct: False
[16:26:30][Step 322] Loss: 2.25 | Was correct: False
[16:26:31][Step 323] Loss: 2.47 | Was correct: False
[16:26:33][Step 324] Loss: 2.29 | Was correct: False
[16:26:34][Step 325] Loss: 2.04 | Was correct: False
[16:26:36][Step 326] Loss: 2.48 | Was correct: False
[16:26:37][Step 327] Loss: 2.04 | Was correct: False
[16:26:39][Step 328] Loss: 2.20 | Was correct: False
